name,county,sub_county,nearest-landmark,lat,lon,type
 CDF Kiriari Dispensary,Embu,Manyatta,Kiriari -market,-0.3994,37.47605,Hospital
 St Jude's Huruma Community Health Services,Nairobi,Mathare,Kariobangi Market,-1.26174,36.87765,Hospital
12 Engineers,Kiambu,Thika West, ,-1.07354,37.14413,Hospital
3Kl Maternity & Nursing Home,Kajiado,Kajiado North,Ongata Ronga,-1.3757,36.72277,Hospital
8Th Street Clinic,Kajiado,Kajiado North,Isinya,-1.41187,36.50854,Hospital
AAR Adams Health Centre,Nairobi,Kibra,Adams,-1.30047,36.73162,Hospital
AAR City Centre Clinic,Nairobi,Starehe,Nairobi,-1.28443,36.82135,Hospital
AAR Clinic Sarit Centre (Westlands),Nairobi,Westlands,Nairobi,-1.2617,36.80211,Hospital
AAR Eldoret,Uasin Gishu,Eldoret West,Eldoret,0.51676,35.27422,Hospital
AAR Gwh Health Care Ltd,Nairobi,Dagoretti North, ,-1.29467,36.80897,Hospital
AAR Health Care,Nairobi,Embakasi East,Donholm,-1.30954,36.9124,Hospital
AAR Health Care-Kisumu,Kisumu,Kisumu East,Central Business District,-0.10465,34.75328,Hospital
AAR Healthcare Limited (Karen),Nairobi,Langata,Great Jubilee shopping  center,-1.3408,36.75777,Hospital
AAR Kariobangi Clinic,Nairobi,Ruaraka,Nairobi,-1.23625,36.96017,Hospital
AAR Medical Services (Docks),Mombasa,Mvita,Mombasa,-4.06012,39.66429,Hospital
AAR Mountain mall,Nairobi,Roysambu,Rosters,-1.23283,36.87403,Hospital
AAR Nakuru Clinic,Nakuru,Nakuru,Nakuru Town,-0.23285,36.04388,Hospital
AAR Outpatient Center Donholm,Nairobi,Embakasi East,Donholm,-1.18072,36.53169,Hospital
AAR Thika out Patient Centre,Kiambu,Thika West,Wabera street opposite thika stadium zuri centre 3rd flooor,-1.03863,37.0775,Hospital
AAR Thika Road Clinic,Nairobi,Roysambu,Nairobi,-1.2148,36.8665,Hospital
Abakore Sub District Hospital,Wajir,Habaswein,Habaswein,0.63091,39.71226,Hospital
Abandoned Child Care,Nairobi,Dagoretti South,Dagoretti Market,-1.27396,36.69119,Hospital
Abba Medical Clinic,Nyeri,Nyeri South, ,-0.49793,36.99488,Hospital
Abby Clinic,Nairobi,Westlands, ,-1.26379,36.74795,Hospital
Abby Health Services,Kitui,Kitui Central,Kitui,-1.03669,38.0094,Hospital
ABC Thange Dispensary,Makueni,Kibwezi,Thange,-2.50087,38.01595,Hospital
Abdallah Dental Clinic (Barclays Plaza-Nairobi),Nairobi,Starehe,GPO,-1.28474,36.81815,Hospital
Abdisamad Dispensary,Garissa,Garissa,Abdisamad,0.04883,39.65491,Hospital
Abdiwaqo Dispensary,Wajir,Eldas,Eldas,2.17684,39.3362,Hospital
Aberdare Health Services,Murang'a,Kigumo,Kangari,-0.765141,36.8247,Hospital
Aberdare Medical & Surgical Clinic,Nyeri,Nyeri South,Othaya Town,-0.558127,36.9264,Hospital
Abidha Health Centre,Siaya,Rarieda,Asembo Bay,-0.15902,34.41064,Hospital
Able Medical Clinic,Kakamega,Kakamega East (Shinyalu),Shinyalu,0.22351,34.81428,Hospital
Aboloi Dispensary,Busia,Teso North,Malakisi,0.65654,34.39563,Hospital
Abra Health Services,Nairobi,Embakasi West,Donholm,-1.2907,36.90275,Hospital
Abraham Memorial Nursing Home (Westlands),Nairobi,Westlands, ,-1.26735,36.75793,Hospital
Abrahams Clinic,Kirinyaga,Kirinyaga West,Sagana,-0.40098,37.2593,Hospital
Absalom Wangulu Dispensary,Kisumu,Nyando,Rabuor,-0.17013,34.84837,Hospital
Abundant Life Clinic,Kisumu,Kisumu East,Kisumu Town,-0.122486,34.752132,Hospital
