name,county,type,contact_person,phone,email,sub_county,nearest-landmark,lat,lon
Action for Children Temporary Rescue Centre,Kiambu,Shelter,John Muiruri (Director),714038285,Kenyadirector@actionchildren.or.ke,,,,
Agatha Amani House,Nakuru,Shelter,Nyakio Kaniu-Lake (Director),713482144,nyakio@empoweringmindsinternational.org,,,,
COFAS Kisumu Safe Haven,Kisumu,Shelter,Martin Oloo (Programmes Director),703467479,info@cofaskenya.or.ke,,,,
Destiny Rescue Centre,Nairobi,Shelter,Florence Muange (Director),720240330,florence.muange@gmail.org,,,,
Emily Martin Rescue Center,Nakuru,Shelter,Esther Nderitu (Director),710955889,esther@nowkenya.org,,,,
Filadephia Women in Crisis Centre (FWCC),Nakuru,Shelter,Margaret Muchendu (Program Manager),720995189,margietich2@yahoo.com,,,,
GCN - Salama Centre,Nairobi,Shelter,Damaris Karungo (Program Manager),725348845,damakarungo@gmail.com,,,,
Hope Beyond Transitional Center,Kajiado,Shelter,Dorcas Parit (Director),725501002,director@hopebeyond.org,,,,
Imara Girls International,Laikipia,Shelter,Carol Erickson (Director),724779101,cerickson19@hotmail.com,,,,
Jirani Centre and Safehouse,Kiambu,Shelter,Sr. Veronica Thiga (Director),722780092,jiranicentre2019@yahoo.com,,,,
Kiota Rescue Homes,Muranga,Shelter,"Dr. Jean Kagia (Chair,  PLMT)",722377772,jeank@jeanliz.co.ke,,,,
KMET Freedom House Safe Space,Kisumu,Shelter,Janepher Musuya,732801396,j.musuya@kmet.co.ke,,,,
Mahali Pa Usalama (MPU),Mombasa,Shelter,Sr. Emiliana Njoki (Program Manager),723379985,mpu@mombasacatholic.org,,,,
Maisha Girls Safe House,Nairobi,Shelter,Florence Keya (Director),726304569,mgirlssafehouse@gmail.com,,,,
Maisha Talita Safe House,Nairobi,Shelter,Yvonne Njoka (Program Coordinator),732235500,maishatalitakenya@gmail.com,,,,
Mary Faith Children Centre,Nairobi,Shelter,Mary Njeri (Director),724374487,maryfaithchildren@gmail.com,,,,
Mediva Wellness Center,Muranga,Shelter,Elvis Osimbi,721423888,elvis@medivawellness.org,,,,
Mully Children Family (MCF),Machakos,Shelter,Dr. Mulli (Executive director),712657905,mcf@mullychildrensfamily.org,,,,
Nainyoie Safe House,Samburu,Shelter,Irene Serina Leshore (Director),720857285,luccinda20@yahoo.com,,,,
Nest Shelter for Abused Girls,Nairobi,Shelter,Lucy Njuguna (Manager),725765978,anduta80@gmail.com,,,,
New Scent Centre,Machakos,Shelter,Florah Mwikali (Director),722732058,kanyole@gmail.com,,,,
Njoo Dada,Nairobi,Shelter,Lunar Odawa (Director),720149568,lunar.odawa@gmail.com,,,,
Okoa Sasa,Mombasa,Shelter,Grace Odembo (Director),724173188,okoasasa@gmail.com,,,,
One More Day for Children Girls' Safe House,Laikipia,Shelter,Hellen Gathogo (Executive Director),721358271,onemoreday4kids@gmail.com,,,,
Pendekezo Letu,Kiambu,Shelter,Sarah Mbira (Executive Director),721927999,pendekezoletu@gmail.com,,,,
Rescue Dada,Nairobi,Shelter,Mary Gatitu (Director),724233626,rescuedadacentre@gmail.com,,,,
Ripples International Tumaini Centre,Meru,Shelter,Mercy Chidi Baidoo (Executive Director),724370653,info@ripplesintl.or.ke,,,,
Samburu Girls Foundation,Samburu,Shelter,Wanjiru Wahome (Program Manager),723582535,wanjiru@samburugirls.foundation,,,,
Serene Haven Kenya,Nyeri,Shelter,Elizabeth Muriuki (Director),706712292,info@serenehavenkenya.org,,,,
Shining Hope for Communities (Shofco),Nairobi,Shelter,Caroline Sakwa (Program Director),711812930,csakwa@shofco.org,,,,
Talia Agler Girls Shelter (TAGS),Kiambu,Shelter,Edith Murogo (Executive Director),722722871,info@cdtd.org,,,,
